state,zipcode,airtel_share_apr,jio_share_apr,idea_share_apr,vodafone_share_apr,airtel_share_may,jio_share_may,idea_share_may,vodafone_share_may,airtel_growth,jio_growth,idea_growth,vodafone_growth
ANDHRA PRADESH,632204,,,,,,,,,,,,
ANDHRA PRADESH,632514,33%,44%,11%,11%,,,,,,,,
ANDHRA PRADESH,632520,,,,,,,,,,,,
ANDHRA PRADESH,632601,,,,,,,,,,,,
ANDHRA PRADESH,632603,,,,,,,,,,,,
ANDHRA PRADESH,635120,,,,,,,,,,,,
ANDHRA PRADESH,635121,,,,,,,,,,,,
ANDHRA PRADESH,635801,,,,,,,,,,,,
ANDHRA PRADESH,635852,,,,,,,,,,,,
ANDHRA PRADESH,761006,,,,,,,,,,,,
ANDHRA PRADESH,761009,,,,,,,,,,,,
ANDHRA PRADESH,761200,,,,,81%,10%,8%,1%,,,,
ANDHRA PRADESH,761201,,,,,,,,,,,,
ANDHRA PRADESH,761206,,,,,,,,,,,,
ANDHRA PRADESH,761211,,,,,,,,,,,,
ANDHRA PRADESH,761215,,,,,,,,,,,,
ANDHRA PRADESH,765002,,,,,,,,,,,,
ANDHRA PRADESH,765034,,,,,,,,,,,,
ARUNACHAL PRADESH,784103,,,,,,,,,,,,
ARUNACHAL PRADESH,784163,,,,,,,,,,,,
ARUNACHAL PRADESH,784168,,,,,,,,,,,,
ARUNACHAL PRADESH,785684,,,,,,,,,,,,
ARUNACHAL PRADESH,786110,,,,,,,,,,,,
ARUNACHAL PRADESH,786155,,,,,,,,,,,,
ARUNACHAL PRADESH,786182,,,,,,,,,,,,
ARUNACHAL PRADESH,786188,,,,,,,,,,,,
ARUNACHAL PRADESH,786622,,,,,,,,,,,,
ARUNACHAL PRADESH,786629,,,,,,,,,,,,
ARUNACHAL PRADESH,786630,,,,,,,,,,,,
ARUNACHAL PRADESH,786631,,,,,,,,,,,,
ARUNACHAL PRADESH,787031,,,,,,,,,,,,
ARUNACHAL PRADESH,787056,,,,,,,,,,,,
ARUNACHAL PRADESH,787059,,,,,,,,,,,,
ARUNACHAL PRADESH,787060,,,,,,,,,,,,
ARUNACHAL PRADESH,790001,,,,,,,,,,,,
ARUNACHAL PRADESH,790002,,,,,,,,,,,,
ARUNACHAL PRADESH,790003,,,,,,,,,,,,
ARUNACHAL PRADESH,790101,71%,1%,0%,28%,,,,,,,,
ARUNACHAL PRADESH,790102,,,,,,,,,,,,
ARUNACHAL PRADESH,790104,,,,,,,,,,,,
ARUNACHAL PRADESH,790105,,,,,,,,,,,,
ARUNACHAL PRADESH,790106,,,,,,,,,,,,
ARUNACHAL PRADESH,790114,,,,,,,,,,,,
ARUNACHAL PRADESH,790116,,,,,,,,,,,,
ARUNACHAL PRADESH,791001,,,,,,,,,,,,
ARUNACHAL PRADESH,791002,,,,,,,,,,,,
ARUNACHAL PRADESH,791101,,,,,,,,,,,,
ARUNACHAL PRADESH,791102,,,,,,,,,,,,
ARUNACHAL PRADESH,791103,,,,,,,,,,,,
ARUNACHAL PRADESH,791104,,,,,,,,,,,,
ARUNACHAL PRADESH,791109,,,,,,,,,,,,
ARUNACHAL PRADESH,791110,,,,,44%,1%,1%,54%,,,,
ARUNACHAL PRADESH,791111,39%,3%,3%,55%,,,,,,,,
ARUNACHAL PRADESH,791112,,,,,,,,,,,,
ARUNACHAL PRADESH,791118,,,,,,,,,,,,
ARUNACHAL PRADESH,791119,,,,,,,,,,,,
ARUNACHAL PRADESH,791120,,,,,,,,,,,,
ARUNACHAL PRADESH,791121,,,,,,,,,,,,
ARUNACHAL PRADESH,791122,,,,,,,,,,,,
ARUNACHAL PRADESH,791123,,,,,,,,,,,,
ARUNACHAL PRADESH,792001,,,,,,,,,,,,
ARUNACHAL PRADESH,792051,,,,,,,,,,,,
ARUNACHAL PRADESH,792056,,,,,,,,,,,,
ARUNACHAL PRADESH,792061,,,,,,,,,,,,
ARUNACHAL PRADESH,792102,,,,,,,,,,,,
ARUNACHAL PRADESH,792103,,,,,,,,,,,,
ARUNACHAL PRADESH,792110,,,,,,,,,,,,
ARUNACHAL PRADESH,792120,,,,,,,,,,,,
ARUNACHAL PRADESH,792121,,,,,,,,,,,,
ARUNACHAL PRADESH,792122,,,,,,,,,,,,
ARUNACHAL PRADESH,792123,,,,,,,,,,,,
ASSAM,781003,17%,67%,2%,14%,,,,,,,,
ASSAM,781004,,,,,,,,,,,,
ASSAM,781010,21%,64%,3%,12%,,,,,,,,
ASSAM,781014,,,,,,,,,,,,
ASSAM,781015,16%,80%,1%,3%,,,,,,,,
ASSAM,781017,,,,,4%,71%,2%,22%,,,,
ASSAM,781019,,,,,,,,,,,,
ASSAM,781020,17%,66%,3%,14%,,,,,,,,
ASSAM,781022,22%,70%,2%,6%,,,,,,,,
ASSAM,781023,,,,,,,,,,,,
ASSAM,781026,,,,,,,,,,,,
ASSAM,781027,,,,,30%,60%,5%,5%,,,,
ASSAM,781030,,,,,,,,,,,,
ASSAM,781031,19%,66%,2%,13%,,,,,,,,
ASSAM,781033,12%,73%,4%,11%,,,,,,,,
ASSAM,781034,18%,63%,8%,11%,,,,,,,,
ASSAM,781035,,,,,10%,74%,3%,14%,,,,
ASSAM,781036,,,,,,,,,,,,
ASSAM,781101,,,,,,,,,,,,
ASSAM,781102,,,,,,,,,,,,
ASSAM,781103,,,,,,,,,,,,
ASSAM,781104,,,,,,,,,,,,
ASSAM,781121,,,,,,,,,,,,
ASSAM,781123,,,,,,,,,,,,
ASSAM,781124,,,,,,,,,,,,
ASSAM,781125,,,,,,,,,,,,
ASSAM,781126,,,,,,,,,,,,
ASSAM,781127,,,,,,,,,,,,
ASSAM,781129,,,,,,,,,,,,
ASSAM,781130,,,,,,,,,,,,
ASSAM,781132,,,,,,,,,,,,
ASSAM,781133,,,,,,,,,,,,
ASSAM,781134,,,,,,,,,,,,
ASSAM,781135,,,,,,,,,,,,
ASSAM,781136,6%,90%,2%,2%,,,,,,,,
ASSAM,781137,,,,,,,,,,,,
ASSAM,781138,,,,,,,,,,,,
ASSAM,781141,,,,,,,,,,,,
ASSAM,781150,,,,,,,,,,,,
ASSAM,781301,,,,,,,,,,,,
ASSAM,781302,,,,,,,,,,,,
ASSAM,781303,,,,,,,,,,,,
ASSAM,781304,,,,,8%,75%,8%,8%,,,,
ASSAM,781305,,,,,,,,,,,,
ASSAM,781306,6%,89%,3%,3%,,,,,,,,
ASSAM,781307,,,,,,,,,,,,
ASSAM,781308,,,,,,,,,,,,
ASSAM,781309,,,,,,,,,,,,
ASSAM,781312,,,,,,,,,,,,
ASSAM,781313,,,,,,,,,,,,
ASSAM,781314,,,,,,,,,,,,
ASSAM,781315,,,,,,,,,,,,
ASSAM,781317,,,,,,,,,,,,
ASSAM,781318,,,,,,,,,,,,
ASSAM,781319,,,,,,,,,,,,
ASSAM,781321,,,,,,,,,,,,
ASSAM,781325,,,,,,,,,,,,
ASSAM,781326,,,,,,,,,,,,
ASSAM,781327,,,,,,,,,,,,
ASSAM,781328,,,,,,,,,,,,
ASSAM,781329,,,,,,,,,,,,
ASSAM,781330,,,,,,,,,,,,
ASSAM,781333,,,,,,,,,,,,
ASSAM,781334,19%,69%,6%,6%,,,,,,,,
ASSAM,781335,,,,,,,,,,,,
ASSAM,781337,,,,,,,,,,,,
ASSAM,781338,,,,,,,,,,,,
ASSAM,781339,,,,,,,,,,,,
ASSAM,781340,,,,,,,,,,,,
ASSAM,781341,,,,,,,,,,,,
ASSAM,781343,,,,,,,,,,,,
ASSAM,781344,,,,,,,,,,,,
ASSAM,781346,,,,,,,,,,,,
ASSAM,781347,,,,,,,,,,,,
ASSAM,781348,,,,,,,,,,,,
ASSAM,781349,,,,,,,,,,,,
ASSAM,781350,,,,,,,,,,,,
ASSAM,781351,,,,,,,,,,,,
ASSAM,781352,,,,,5%,91%,1%,3%,,,,
ASSAM,781354,16%,69%,7%,7%,,,,,,,,
ASSAM,781355,,,,,,,,,,,,
ASSAM,781360,,,,,,,,,,,,
ASSAM,781364,,,,,,,,,,,,
ASSAM,781366,,,,,,,,,,,,
ASSAM,781367,,,,,,,,,,,,
ASSAM,781368,,,,,,,,,,,,
ASSAM,781369,,,,,,,,,,,,
ASSAM,781370,,,,,,,,,,,,
ASSAM,781371,,,,,,,,,,,,
ASSAM,781372,,,,,,,,,,,,
ASSAM,781373,,,,,,,,,,,,
ASSAM,781374,,,,,,,,,,,,
ASSAM,781376,,,,,,,,,,,,
ASSAM,781377,,,,,,,,,,,,
ASSAM,781378,,,,,,,,,,,,
ASSAM,781380,,,,,,,,,,,,
ASSAM,781381,,,,,,,,,,,,
ASSAM,781382,,,,,,,,,,,,
ASSAM,782001,,,,,,,,,,,,
ASSAM,782002,5%,89%,2%,5%,,,,,,,,
ASSAM,782101,,,,,,,,,,,,
ASSAM,782102,,,,,,,,,,,,
ASSAM,782103,,,,,,,,,,,,
ASSAM,782104,,,,,,,,,,,,
ASSAM,782105,,,,,23%,58%,3%,16%,,,,
ASSAM,782107,,,,,,,,,,,,
ASSAM,782108,,,,,,,,,,,,
ASSAM,782120,,,,,,,,,,,,
ASSAM,782122,,,,,,,,,,,,
ASSAM,782123,,,,,10%,86%,1%,3%,,,,
ASSAM,782124,,,,,4%,73%,2%,22%,,,,
ASSAM,782125,5%,92%,2%,2%,,,,,,,,
ASSAM,782126,,,,,,,,,,,,
ASSAM,782127,,,,,,,,,,,,
ASSAM,782135,,,,,,,,,,,,
ASSAM,782136,,,,,,,,,,,,
ASSAM,782137,,,,,,,,,,,,
ASSAM,782138,,,,,,,,,,,,
ASSAM,782139,,,,,,,,,,,,
ASSAM,782140,,,,,,,,,,,,
ASSAM,782141,,,,,,,,,,,,
ASSAM,782142,,,,,,,,,,,,
ASSAM,782143,,,,,,,,,,,,
ASSAM,782144,,,,,,,,,,,,
ASSAM,782401,,,,,,,,,,,,
ASSAM,782402,,,,,,,,,,,,
ASSAM,782403,,,,,,,,,,,,
ASSAM,782410,,,,,,,,,,,,
ASSAM,782411,,,,,,,,,,,,
ASSAM,782412,,,,,,,,,,,,
ASSAM,782425,,,,,,,,,,,,
ASSAM,782426,,,,,,,,,,,,
ASSAM,782427,,,,,12%,35%,6%,47%,,,,
ASSAM,782428,,,,,,,,,,,,
ASSAM,782429,,,,,,,,,,,,
ASSAM,782435,,,,,8%,78%,1%,13%,,,,
ASSAM,782439,,,,,,,,,,,,
ASSAM,782440,,,,,,,,,,,,
ASSAM,782441,,,,,,,,,,,,
ASSAM,782442,,,,,7%,80%,7%,7%,,,,
ASSAM,782445,,,,,10%,82%,1%,7%,,,,
ASSAM,782446,,,,,8%,84%,1%,7%,,,,
ASSAM,782448,,,,,,,,,,,,
ASSAM,782450,,,,,,,,,,,,
ASSAM,782460,,,,,,,,,,,,
ASSAM,782461,,,,,,,,,,,,
ASSAM,782470,,,,,,,,,,,,
ASSAM,782480,,,,,11%,83%,1%,4%,,,,
ASSAM,782481,,,,,,,,,,,,
ASSAM,782482,,,,,,,,,,,,
ASSAM,782485,,,,,,,,,,,,
ASSAM,782486,,,,,,,,,,,,
ASSAM,782490,,,,,,,,,,,,
ASSAM,783101,7%,90%,1%,2%,,,,,,,,
ASSAM,783120,,,,,,,,,,,,
ASSAM,783121,,,,,,,,,,,,
ASSAM,783122,,,,,,,,,,,,
ASSAM,783123,,,,,,,,,,,,
ASSAM,783124,,,,,,,,,,,,
ASSAM,783125,,,,,,,,,,,,
ASSAM,783126,,,,,,,,,,,,
ASSAM,783127,,,,,,,,,,,,
ASSAM,783128,,,,,,,,,,,,
ASSAM,783129,,,,,,,,,,,,
ASSAM,783130,,,,,,,,,,,,
ASSAM,783131,,,,,,,,,,,,
ASSAM,783132,,,,,,,,,,,,
ASSAM,783133,,,,,,,,,,,,
ASSAM,783135,,,,,,,,,,,,
ASSAM,783301,,,,,,,,,,,,
ASSAM,783323,,,,,29%,54%,4%,14%,,,,
ASSAM,783324,,,,,,,,,,,,
ASSAM,783330,,,,,,,,,,,,
ASSAM,783331,,,,,,,,,,,,
ASSAM,783332,,,,,,,,,,,,
ASSAM,783333,,,,,,,,,,,,
ASSAM,783334,,,,,,,,,,,,
ASSAM,783335,,,,,,,,,,,,
ASSAM,783336,,,,,,,,,,,,
ASSAM,783337,,,,,14%,78%,3%,6%,,,,
ASSAM,783345,,,,,,,,,,,,
ASSAM,783346,,,,,,,,,,,,
ASSAM,783347,,,,,,,,,,,,
ASSAM,783348,,,,,6%,88%,2%,4%,,,,
ASSAM,783349,,,,,,,,,,,,
ASSAM,783350,,,,,,,,,,,,
ASSAM,783351,,,,,,,,,,,,
ASSAM,783354,,,,,,,,,,,,
ASSAM,783360,,,,,,,,,,,,
ASSAM,783361,,,,,,,,,,,,
ASSAM,783369,,,,,,,,,,,,
ASSAM,783370,,,,,,,,,,,,
ASSAM,783371,,,,,,,,,,,,
ASSAM,783372,,,,,,,,,,,,
ASSAM,783373,,,,,,,,,,,,
ASSAM,783374,,,,,,,,,,,,
ASSAM,783375,,,,,,,,,,,,
ASSAM,783376,,,,,,,,,,,,
ASSAM,783381,,,,,,,,,,,,
ASSAM,783382,,,,,,,,,,,,
ASSAM,783383,,,,,,,,,,,,
ASSAM,783384,,,,,,,,,,,,
ASSAM,783385,,,,,,,,,,,,
ASSAM,783388,,,,,8%,83%,1%,8%,,,,
ASSAM,783390,,,,,,,,,,,,
ASSAM,783391,,,,,,,,,,,,
ASSAM,783392,,,,,,,,,,,,
ASSAM,783393,,,,,,,,,,,,
ASSAM,783394,,,,,,,,,,,,
ASSAM,784026,,,,,,,,,,,,
ASSAM,784027,,,,,5%,85%,5%,5%,,,,
ASSAM,784028,,,,,,,,,,,,
ASSAM,784101,16%,70%,3%,12%,,,,,,,,
ASSAM,784102,,,,,,,,,,,,
ASSAM,784103,,,,,52%,19%,5%,24%,,,,
ASSAM,784104,2%,93%,2%,2%,,,,,,,,
ASSAM,784105,17%,71%,1%,10%,,,,,,,,
ASSAM,784110,,,,,2%,88%,1%,8%,,,,
ASSAM,784111,,,,,,,,,,,,
ASSAM,784112,,,,,,,,,,,,
ASSAM,784113,,,,,,,,,,,,
ASSAM,784114,,,,,,,,,,,,
ASSAM,784115,,,,,,,,,,,,
ASSAM,784116,,,,,,,,,,,,
ASSAM,784117,,,,,,,,,,,,
ASSAM,784125,,,,,12%,83%,1%,4%,,,,
ASSAM,784144,,,,,,,,,,,,
ASSAM,784145,,,,,,,,,,,,
ASSAM,784146,,,,,,,,,,,,
ASSAM,784147,,,,,,,,,,,,
ASSAM,784148,,,,,,,,,,,,
ASSAM,784151,,,,,,,,,,,,
ASSAM,784153,,,,,,,,,,,,
ASSAM,784154,,,,,,,,,,,,
ASSAM,784161,,,,,,,,,,,,
ASSAM,784163,,,,,,,,,,,,
ASSAM,784164,,,,,,,,,,,,
ASSAM,784165,,,,,,,,,,,,
ASSAM,784166,,,,,,,,,,,,
ASSAM,784167,,,,,,,,,,,,
ASSAM,784168,,,,,,,,,,,,
ASSAM,784169,,,,,,,,,,,,
ASSAM,784170,,,,,,,,,,,,
ASSAM,784171,,,,,,,,,,,,
ASSAM,784172,,,,,,,,,,,,
ASSAM,784174,,,,,,,,,,,,
ASSAM,784175,,,,,,,,,,,,
ASSAM,784177,,,,,,,,,,,,
ASSAM,784178,,,,,,,,,,,,
ASSAM,784179,,,,,,,,,,,,
ASSAM,784180,,,,,,,,,,,,
ASSAM,784181,,,,,,,,,,,,
ASSAM,784182,,,,,,,,,,,,
ASSAM,784183,,,,,,,,,,,,
ASSAM,784184,,,,,,,,,,,,
ASSAM,784190,,,,,,,,,,,,
ASSAM,784502,,,,,,,,,,,,
ASSAM,784504,,,,,,,,,,,,
ASSAM,784505,,,,,,,,,,,,
ASSAM,784506,18%,52%,2%,28%,,,,,,,,
ASSAM,784507,,,,,,,,,,,,
ASSAM,784508,,,,,,,,,,,,
ASSAM,784509,,,,,,,,,,,,
ASSAM,784510,,,,,,,,,,,,
ASSAM,784513,,,,,,,,,,,,
ASSAM,784514,,,,,,,,,,,,
ASSAM,784521,,,,,,,,,,,,
ASSAM,784522,6%,83%,6%,6%,,,,,,,,
ASSAM,784523,,,,,,,,,,,,
ASSAM,784524,,,,,,,,,,,,
ASSAM,784525,,,,,,,,,,,,
ASSAM,784526,,,,,,,,,,,,
ASSAM,784527,,,,,,,,,,,,
ASSAM,784528,,,,,,,,,,,,
ASSAM,785005,18%,71%,2%,10%,,,,,,,,
ASSAM,785006,,,,,,,,,,,,
ASSAM,785007,,,,,,,,,,,,
ASSAM,785008,10%,82%,2%,6%,,,,,,,,
ASSAM,785009,13%,79%,4%,4%,,,,,,,,
ASSAM,785013,,,,,,,,,,,,
ASSAM,785014,,,,,,,,,,,,
ASSAM,785015,,,,,,,,,,,,
ASSAM,785101,,,,,,,,,,,,
ASSAM,785102,,,,,,,,,,,,
ASSAM,785104,,,,,,,,,,,,
ASSAM,785105,,,,,,,,,,,,
ASSAM,785107,8%,88%,1%,3%,,,,,,,,
ASSAM,785108,,,,,,,,,,,,
ASSAM,785111,,,,,,,,,,,,
ASSAM,785112,,,,,,,,,,,,
ASSAM,785601,,,,,,,,,,,,
ASSAM,785602,,,,,,,,,,,,
ASSAM,785603,,,,,,,,,,,,
ASSAM,785604,,,,,,,,,,,,
ASSAM,785609,,,,,,,,,,,,
ASSAM,785610,,,,,,,,,,,,
ASSAM,785611,,,,,,,,,,,,
ASSAM,785612,,,,,,,,,,,,
ASSAM,785613,,,,,,,,,,,,
ASSAM,785614,,,,,,,,,,,,
ASSAM,785615,,,,,,,,,,,,
ASSAM,785616,,,,,,,,,,,,
ASSAM,785617,,,,,,,,,,,,
ASSAM,785618,,,,,,,,,,,,
ASSAM,785619,,,,,,,,,,,,
ASSAM,785620,,,,,,,,,,,,
ASSAM,785621,7%,86%,2%,5%,,,,,,,,
ASSAM,785622,,,,,,,,,,,,
ASSAM,785625,,,,,,,,,,,,
ASSAM,785626,,,,,,,,,,,,
ASSAM,785630,,,,,13%,83%,3%,3%,,,,
ASSAM,785632,,,,,,,,,,,,
ASSAM,785633,,,,,,,,,,,,
ASSAM,785635,,,,,,,,,,,,
ASSAM,785636,,,,,,,,,,,,
ASSAM,785640,,,,,,,,,,,,
ASSAM,785660,,,,,,,,,,,,
ASSAM,785661,,,,,,,,,,,,
ASSAM,785662,,,,,,,,,,,,
ASSAM,785663,,,,,,,,,,,,
ASSAM,785664,,,,,,,,,,,,
ASSAM,785665,,,,,,,,,,,,
ASSAM,785666,,,,,,,,,,,,
ASSAM,785667,,,,,,,,,,,,
ASSAM,785669,,,,,,,,,,,,
ASSAM,785671,,,,,,,,,,,,
ASSAM,785672,,,,,,,,,,,,
ASSAM,785673,,,,,,,,,,,,
ASSAM,785674,,,,,,,,,,,,
ASSAM,785675,,,,,,,,,,,,
ASSAM,785676,,,,,,,,,,,,
ASSAM,785680,,,,,,,,,,,,
ASSAM,785681,,,,,,,,,,,,
ASSAM,785682,,,,,,,,,,,,
ASSAM,785683,,,,,,,,,,,,
ASSAM,785684,,,,,,,,,,,,
ASSAM,785685,,,,,,,,,,,,
ASSAM,785686,,,,,,,,,,,,
ASSAM,785687,,,,,,,,,,,,
ASSAM,785688,,,,,,,,,,,,
ASSAM,785689,,,,,,,,,,,,
ASSAM,785690,22%,74%,1%,4%,,,,,,,,
ASSAM,785691,,,,,,,,,,,,
ASSAM,785692,,,,,,,,,,,,
ASSAM,785693,,,,,,,,,,,,
ASSAM,785695,,,,,,,,,,,,
ASSAM,785697,,,,,,,,,,,,
ASSAM,785698,,,,,,,,,,,,
ASSAM,785699,,,,,,,,,,,,
ASSAM,785700,,,,,,,,,,,,
ASSAM,785701,,,,,,,,,,,,
ASSAM,785702,,,,,,,,,,,,
ASSAM,785703,,,,,,,,,,,,
ASSAM,785704,12%,83%,2%,4%,,,,,,,,
ASSAM,786001,,,,,,,,,,,,
ASSAM,786004,,,,,,,,,,,,
ASSAM,786010,,,,,,,,,,,,
ASSAM,786012,,,,,,,,,,,,
ASSAM,786101,,,,,,,,,,,,
ASSAM,786102,,,,,,,,,,,,
ASSAM,786103,,,,,,,,,,,,
ASSAM,786110,,,,,,,,,,,,
ASSAM,786126,,,,,,,,,,,,
ASSAM,786145,,,,,,,,,,,,
ASSAM,786146,,,,,,,,,,,,
ASSAM,786147,,,,,,,,,,,,
ASSAM,786148,,,,,,,,,,,,
ASSAM,786150,,,,,,,,,,,,
ASSAM,786151,,,,,,,,,,,,
ASSAM,786152,,,,,,,,,,,,
ASSAM,786154,,,,,,,,,,,,
ASSAM,786155,,,,,,,,,,,,
ASSAM,786156,,,,,,,,,,,,
ASSAM,786158,,,,,,,,,,,,
ASSAM,786159,,,,,,,,,,,,
ASSAM,786160,,,,,,,,,,,,
ASSAM,786170,,,,,,,,,,,,
ASSAM,786171,,,,,,,,,,,,
ASSAM,786174,,,,,,,,,,,,
ASSAM,786181,,,,,,,,,,,,
ASSAM,786182,,,,,,,,,,,,
ASSAM,786183,,,,,,,,,,,,
ASSAM,786184,,,,,,,,,,,,
ASSAM,786187,,,,,,,,,,,,
ASSAM,786188,,,,,,,,,,,,
ASSAM,786189,,,,,24%,65%,2%,9%,,,,
ASSAM,786190,,,,,,,,,,,,
ASSAM,786191,14%,80%,1%,6%,,,,,,,,
ASSAM,786192,,,,,,,,,,,,
ASSAM,786602,,,,,,,,,,,,
ASSAM,786610,,,,,,,,,,,,
ASSAM,786611,,,,,,,,,,,,
ASSAM,786613,,,,,,,,,,,,
ASSAM,786614,,,,,,,,,,,,
ASSAM,786621,,,,,,,,,,,,
ASSAM,786623,,,,,,,,,,,,
ASSAM,786670,,,,,,,,,,,,
ASSAM,787001,,,,,,,,,,,,
ASSAM,787023,,,,,,,,,,,,
ASSAM,787030,,,,,,,,,,,,
ASSAM,787031,,,,,,,,,,,,
ASSAM,787032,,,,,,,,,,,,
ASSAM,787033,,,,,,,,,,,,
ASSAM,787034,,,,,,,,,,,,
ASSAM,787051,,,,,,,,,,,,
ASSAM,787052,,,,,,,,,,,,
ASSAM,787053,,,,,,,,,,,,
ASSAM,787055,,,,,,,,,,,,
ASSAM,787056,,,,,,,,,,,,
ASSAM,787057,,,,,,,,,,,,
ASSAM,787058,,,,,,,,,,,,
ASSAM,787059,,,,,,,,,,,,
ASSAM,787060,,,,,,,,,,,,
ASSAM,787160,,,,,,,,,,,,
ASSAM,788001,,,,,,,,,,,,
ASSAM,788002,,,,,,,,,,,,
ASSAM,788004,,,,,,,,,,,,
ASSAM,788005,,,,,,,,,,,,
ASSAM,788007,,,,,10%,79%,1%,10%,,,,
ASSAM,788008,,,,,,,,,,,,
ASSAM,788009,,,,,,,,,,,,
ASSAM,788010,,,,,,,,,,,,
ASSAM,788011,,,,,,,,,,,,
ASSAM,788013,,,,,,,,,,,,
ASSAM,788014,,,,,,,,,,,,
ASSAM,788015,,,,,,,,,,,,
ASSAM,788025,,,,,,,,,,,,
ASSAM,788026,,,,,,,,,,,,
ASSAM,788030,16%,76%,4%,4%,,,,,,,,
ASSAM,788031,,,,,,,,,,,,
ASSAM,788098,,,,,,,,,,,,
ASSAM,788101,,,,,,,,,,,,
ASSAM,788102,,,,,,,,,,,,
ASSAM,788104,,,,,,,,,,,,
ASSAM,788106,,,,,,,,,,,,
ASSAM,788107,,,,,,,,,,,,
ASSAM,788109,,,,,,,,,,,,
ASSAM,788110,,,,,,,,,,,,
ASSAM,788112,,,,,,,,,,,,
ASSAM,788114,,,,,,,,,,,,
ASSAM,788115,,,,,,,,,,,,
ASSAM,788116,,,,,,,,,,,,
ASSAM,788117,,,,,,,,,,,,
ASSAM,788118,,,,,,,,,,,,
ASSAM,788119,,,,,,,,,,,,
ASSAM,788120,,,,,,,,,,,,
ASSAM,788121,,,,,,,,,,,,
ASSAM,788122,,,,,,,,,,,,
ASSAM,788123,,,,,,,,,,,,
ASSAM,788126,,,,,,,,,,,,
ASSAM,788150,,,,,,,,,,,,
ASSAM,788152,,,,,,,,,,,,
ASSAM,788155,,,,,,,,,,,,
ASSAM,788156,,,,,,,,,,,,
ASSAM,788160,,,,,,,,,,,,
ASSAM,788161,,,,,,,,,,,,
ASSAM,788162,,,,,,,,,,,,
ASSAM,788163,,,,,,,,,,,,
ASSAM,788164,,,,,,,,,,,,
ASSAM,788165,,,,,,,,,,,,
ASSAM,788166,,,,,,,,,,,,
ASSAM,788701,,,,,,,,,,,,
ASSAM,788710,,,,,,,,,,,,
ASSAM,788712,,,,,,,,,,,,
ASSAM,788713,,,,,,,,,,,,
ASSAM,788719,,,,,,,,,,,,
ASSAM,788720,,,,,,,,,,,,
ASSAM,788721,,,,,,,,,,,,
ASSAM,788722,,,,,,,,,,,,
ASSAM,788723,,,,,,,,,,,,
ASSAM,788724,,,,,,,,,,,,
ASSAM,788725,,,,,,,,,,,,
ASSAM,788726,,,,,,,,,,,,
ASSAM,788727,,,,,,,,,,,,
ASSAM,788728,,,,,,,,,,,,
ASSAM,788733,,,,,,,,,,,,
ASSAM,788734,,,,,,,,,,,,
ASSAM,788735,,,,,,,,,,,,
ASSAM,788736,,,,,,,,,,,,
ASSAM,788737,,,,,,,,,,,,
ASSAM,788781,,,,,,,,,,,,
ASSAM,788801,,,,,,,,,,,,
ASSAM,788802,,,,,,,,,,,,
ASSAM,788803,,,,,,,,,,,,
ASSAM,788804,,,,,,,,,,,,
ASSAM,788805,,,,,,,,,,,,
ASSAM,788806,,,,,,,,,,,,
ASSAM,788815,,,,,,,,,,,,
ASSAM,788816,,,,,,,,,,,,
ASSAM,788817,,,,,,,,,,,,
ASSAM,788818,,,,,,,,,,,,
ASSAM,788819,,,,,,,,,,,,
ASSAM,788820,,,,,,,,,,,,
ASSAM,788830,,,,,,,,,,,,
ASSAM,788832,,,,,,,,,,,,
ASSAM,788931,,,,,,,,,,,,
ASSAM,791102,,,,,,,,,,,,
BIHAR,232110,,,,,,,,,,,,
BIHAR,232118,,,,,,,,,,,,
BIHAR,232326,,,,,,,,,,,,
BIHAR,232327,,,,,,,,,,,,
BIHAR,232330,,,,,,,,,,,,
BIHAR,232331,,,,,,,,,,,,
BIHAR,232333,,,,,,,,,,,,
BIHAR,274001,,,,,,,,,,,,
BIHAR,274302,,,,,,,,,,,,
BIHAR,274303,,,,,,,,,,,,
BIHAR,274304,,,,,,,,,,,,
BIHAR,274401,,,,,8%,67%,8%,17%,,,,
BIHAR,274404,,,,,,,,,,,,
BIHAR,274405,,,,,,,,,,,,
BIHAR,274406,,,,,,,,,,,,
BIHAR,274407,,,,,,,,,,,,
BIHAR,274409,8%,75%,8%,8%,,,,,,,,
BIHAR,274501,,,,,,,,,,,,
BIHAR,274502,,,,,,,,,,,,
BIHAR,274702,5%,70%,10%,15%,,,,,,,,
BIHAR,274703,,,,,,,,,,,,
BIHAR,274704,,,,,,,,,,,,
BIHAR,274705,,,,,,,,,,,,
BIHAR,277201,,,,,,,,,,,,
BIHAR,277204,,,,,,,,,,,,
BIHAR,277207,,,,,,,,,,,,
BIHAR,277208,,,,,,,,,,,,
BIHAR,277301,,,,,,,,,,,,
BIHAR,277401,,,,,,,,,,,,
BIHAR,277402,,,,,,,,,,,,
BIHAR,277501,,,,,,,,,,,,
BIHAR,277506,,,,,,,,,,,,
BIHAR,800002,,,,,44%,52%,5%,0%,,,,
BIHAR,800003,43%,54%,3%,0%,,,,,,,,
BIHAR,800006,43%,49%,7%,1%,,,,,,,,
BIHAR,800009,,,,,,,,,,,,
BIHAR,800010,,,,,,,,,,,,
BIHAR,800012,,,,,12%,73%,15%,1%,,,,
BIHAR,800015,,,,,,,,,,,,
BIHAR,800016,36%,54%,9%,1%,,,,,,,,
BIHAR,800017,,,,,21%,72%,3%,3%,,,,
BIHAR,800018,,,,,,,,,,,,
